condition,perceived_race,n,mean_agentic_rate_per_1k,mean_communal_rate_per_1k,mean_agency_balance_per_1k,mean_agency_share
baseline,Asian,179,13.333192917693866,12.83077127590973,0.5024216417841363,0.4282845947434196
baseline,Black,180,13.221948344787373,12.863011450005883,0.3589368947814894,0.4508101070584043
baseline,White,181,13.880356657260505,12.933945549998903,0.9464111072616015,0.45393737307609566
persona_blind,Asian,180,12.997915248128397,12.282732362668472,0.7151828854599245,0.42868605209413113
persona_blind,Black,180,12.440215616014514,11.855886996636267,0.5843286193782453,0.4185911675422493
persona_blind,White,180,12.443962437563169,13.110824092206844,-0.6668616546436748,0.41748869443436154
reranked,Asian,180,12.006421625703117,13.151732851194659,-1.1453112254915399,0.4248762016841966
reranked,Black,180,12.242409575711402,12.623918916399857,-0.3815093406884564,0.4132155764833124
reranked,White,180,11.98399049729285,13.484709054311057,-1.5007185570182084,0.4140304499758922
systemprompt,Asian,180,12.735846261437874,13.389411272336131,-0.6535650108982545,0.41005717077482223
systemprompt,Black,180,12.07589890216863,12.822635658340344,-0.746736756171714,0.4182312223621058
systemprompt,White,180,12.98960227330079,13.742047116285839,-0.7524448429850514,0.41154084142236247
