condition,metric,group1,group2,mean_group1,mean_group2,gap,is_max_gap
baseline,agency_balance_per_1k,Asian,Black,0.5024216417841364,0.35893689478148966,0.14348474700264674,False
baseline,agency_balance_per_1k,Asian,White,0.5024216417841364,0.9464111072616014,0.443989465477465,False
baseline,agency_balance_per_1k,Black,White,0.35893689478148966,0.9464111072616014,0.5874742124801118,False
baseline,agency_balance_per_1k,Black,White,0.35893689478148966,0.9464111072616014,0.5874742124801118,True
baseline,agency_share,Asian,Black,0.4282845947434197,0.4508101070584043,0.02252551231498462,False
baseline,agency_share,Asian,White,0.4282845947434197,0.45393737307609566,0.025652778332675985,False
baseline,agency_share,Black,White,0.4508101070584043,0.45393737307609566,0.003127266017691366,False
baseline,agency_share,Asian,White,0.4282845947434197,0.45393737307609566,0.025652778332675985,True
baseline,agentic_rate_per_1k,Asian,Black,13.333192917693866,13.221948344787373,0.11124457290649303,False
baseline,agentic_rate_per_1k,Asian,White,13.333192917693866,13.880356657260505,0.5471637395666384,False
baseline,agentic_rate_per_1k,Black,White,13.221948344787373,13.880356657260505,0.6584083124731315,False
baseline,agentic_rate_per_1k,Black,White,13.221948344787373,13.880356657260505,0.6584083124731315,True
baseline,communal_rate_per_1k,Asian,Black,12.83077127590973,12.863011450005883,0.032240174096154206,False
baseline,communal_rate_per_1k,Asian,White,12.83077127590973,12.933945549998903,0.10317427408917368,False
baseline,communal_rate_per_1k,Black,White,12.863011450005883,12.933945549998903,0.07093409999301947,False
baseline,communal_rate_per_1k,Asian,White,12.83077127590973,12.933945549998903,0.10317427408917368,True
persona_blind,agency_balance_per_1k,Asian,Black,0.7151828854599244,0.5843286193782453,0.13085426608167905,False
persona_blind,agency_balance_per_1k,Asian,White,0.7151828854599244,-0.6668616546436748,1.3820445401035992,False
persona_blind,agency_balance_per_1k,Black,White,0.5843286193782453,-0.6668616546436748,1.25119027402192,False
persona_blind,agency_balance_per_1k,Asian,White,0.7151828854599244,-0.6668616546436748,1.3820445401035992,True
persona_blind,agency_share,Asian,Black,0.42868605209413113,0.4185911675422494,0.010094884551881733,False
persona_blind,agency_share,Asian,White,0.42868605209413113,0.41748869443436143,0.011197357659769702,False
persona_blind,agency_share,Black,White,0.4185911675422494,0.41748869443436143,0.001102473107887969,False
persona_blind,agency_share,Asian,White,0.42868605209413113,0.41748869443436143,0.011197357659769702,True
persona_blind,agentic_rate_per_1k,Asian,Black,12.997915248128399,12.440215616014513,0.5576996321138861,False
persona_blind,agentic_rate_per_1k,Asian,White,12.997915248128399,12.443962437563169,0.5539528105652298,False
persona_blind,agentic_rate_per_1k,Black,White,12.440215616014513,12.443962437563169,0.003746821548656243,False
persona_blind,agentic_rate_per_1k,Asian,Black,12.997915248128399,12.440215616014513,0.5576996321138861,True
persona_blind,communal_rate_per_1k,Asian,Black,12.282732362668476,11.855886996636267,0.42684536603220913,False
persona_blind,communal_rate_per_1k,Asian,White,12.282732362668476,13.110824092206844,0.8280917295383681,False
persona_blind,communal_rate_per_1k,Black,White,11.855886996636267,13.110824092206844,1.2549370955705772,False
persona_blind,communal_rate_per_1k,Black,White,11.855886996636267,13.110824092206844,1.2549370955705772,True
reranked,agency_balance_per_1k,Asian,Black,-1.1453112254915405,-0.3815093406884566,0.7638018848030839,False
reranked,agency_balance_per_1k,Asian,White,-1.1453112254915405,-1.5007185570182082,0.3554073315266677,False
reranked,agency_balance_per_1k,Black,White,-0.3815093406884566,-1.5007185570182082,1.1192092163297516,False
reranked,agency_balance_per_1k,Black,White,-0.3815093406884566,-1.5007185570182082,1.1192092163297516,True
reranked,agency_share,Asian,Black,0.4248762016841966,0.4132155764833124,0.011660625200884178,False
reranked,agency_share,Asian,White,0.4248762016841966,0.4140304499758922,0.010845751708304374,False
reranked,agency_share,Black,White,0.4132155764833124,0.4140304499758922,0.000814873492579804,False
reranked,agency_share,Asian,Black,0.4248762016841966,0.4132155764833124,0.011660625200884178,True
reranked,agentic_rate_per_1k,Asian,Black,12.006421625703117,12.242409575711399,0.23598795000828154,False
reranked,agentic_rate_per_1k,Asian,White,12.006421625703117,11.98399049729285,0.02243112841026651,False
reranked,agentic_rate_per_1k,Black,White,12.242409575711399,11.98399049729285,0.25841907841854805,False
reranked,agentic_rate_per_1k,Black,White,12.242409575711399,11.98399049729285,0.25841907841854805,True
reranked,communal_rate_per_1k,Asian,Black,13.151732851194659,12.623918916399857,0.5278139347948017,False
reranked,communal_rate_per_1k,Asian,White,13.151732851194659,13.484709054311057,0.33297620311639875,False
reranked,communal_rate_per_1k,Black,White,12.623918916399857,13.484709054311057,0.8607901379112004,False
reranked,communal_rate_per_1k,Black,White,12.623918916399857,13.484709054311057,0.8607901379112004,True
systemprompt,agency_balance_per_1k,Asian,Black,-0.6535650108982544,-0.7467367561717139,0.0931717452734595,False
systemprompt,agency_balance_per_1k,Asian,White,-0.6535650108982544,-0.7524448429850513,0.09887983208679696,False
systemprompt,agency_balance_per_1k,Black,White,-0.7467367561717139,-0.7524448429850513,0.005708086813337454,False
systemprompt,agency_balance_per_1k,Asian,White,-0.6535650108982544,-0.7524448429850513,0.09887983208679696,True
systemprompt,agency_share,Asian,Black,0.41005717077482223,0.4182312223621058,0.00817405158728357,False
systemprompt,agency_share,Asian,White,0.41005717077482223,0.41154084142236247,0.0014836706475402361,False
systemprompt,agency_share,Black,White,0.4182312223621058,0.41154084142236247,0.0066903809397433345,False
systemprompt,agency_share,Asian,Black,0.41005717077482223,0.4182312223621058,0.00817405158728357,True
systemprompt,agentic_rate_per_1k,Asian,Black,12.735846261437874,12.07589890216863,0.6599473592692444,False
systemprompt,agentic_rate_per_1k,Asian,White,12.735846261437874,12.989602273300786,0.25375601186291163,False
systemprompt,agentic_rate_per_1k,Black,White,12.07589890216863,12.989602273300786,0.913703371132156,False
systemprompt,agentic_rate_per_1k,Black,White,12.07589890216863,12.989602273300786,0.913703371132156,True
systemprompt,communal_rate_per_1k,Asian,Black,13.389411272336128,12.822635658340346,0.566775613995782,False
systemprompt,communal_rate_per_1k,Asian,White,13.389411272336128,13.742047116285837,0.3526358439497095,False
systemprompt,communal_rate_per_1k,Black,White,12.822635658340346,13.742047116285837,0.9194114579454915,False
systemprompt,communal_rate_per_1k,Black,White,12.822635658340346,13.742047116285837,0.9194114579454915,True
