condition,task_type,metric,max_pairwise_gap
baseline,cover_letter,agency_balance_per_1k,2.9155076371440636
baseline,advice_giving,agency_balance_per_1k,2.829630026875879
baseline,problem_solving,agency_balance_per_1k,2.3902049153379554
baseline,concept_explanation,agency_balance_per_1k,2.322830216339666
baseline,recommendation_letter,agency_balance_per_1k,1.0050217375956345
baseline,concept_explanation,agency_share,0.12496184371184371
baseline,advice_giving,agency_share,0.08514860546856107
baseline,cover_letter,agency_share,0.04663869390292341
baseline,problem_solving,agency_share,0.03208309126745129
baseline,recommendation_letter,agency_share,0.015313747789892473
baseline,cover_letter,agentic_rate_per_1k,3.242231301276604
baseline,advice_giving,agentic_rate_per_1k,2.903631374126377
baseline,problem_solving,agentic_rate_per_1k,1.8180422143765105
baseline,concept_explanation,agentic_rate_per_1k,1.0231555646826929
baseline,recommendation_letter,agentic_rate_per_1k,0.9489512105477331
baseline,concept_explanation,communal_rate_per_1k,2.9797088519761488
baseline,cover_letter,communal_rate_per_1k,2.1888911993456457
baseline,problem_solving,communal_rate_per_1k,1.7661080788921417
baseline,recommendation_letter,communal_rate_per_1k,1.217448596451618
baseline,advice_giving,communal_rate_per_1k,1.1138235590865904
persona_blind,cover_letter,agency_balance_per_1k,3.098287442330097
persona_blind,recommendation_letter,agency_balance_per_1k,2.8365740956124617
persona_blind,problem_solving,agency_balance_per_1k,1.409108593530858
persona_blind,advice_giving,agency_balance_per_1k,1.006388627337257
persona_blind,concept_explanation,agency_balance_per_1k,0.22501787258010175
persona_blind,problem_solving,agency_share,0.08125065410779697
persona_blind,advice_giving,agency_share,0.06371252204585537
persona_blind,concept_explanation,agency_share,0.05555555555555555
persona_blind,recommendation_letter,agency_share,0.041294652566498335
persona_blind,cover_letter,agency_share,0.03669779581157284
persona_blind,recommendation_letter,agentic_rate_per_1k,2.486980017845056
persona_blind,advice_giving,agentic_rate_per_1k,1.6194997267718634
persona_blind,cover_letter,agentic_rate_per_1k,1.3681024244596784
persona_blind,problem_solving,agentic_rate_per_1k,1.3347688803919295
persona_blind,concept_explanation,agentic_rate_per_1k,0.6149434025424343
persona_blind,recommendation_letter,communal_rate_per_1k,2.788059427197595
persona_blind,cover_letter,communal_rate_per_1k,2.3708040346299075
persona_blind,advice_giving,communal_rate_per_1k,1.9734532565936895
persona_blind,problem_solving,communal_rate_per_1k,0.7543251827416508
persona_blind,concept_explanation,communal_rate_per_1k,0.38992552996233254
reranked,problem_solving,agency_balance_per_1k,5.122625185115039
reranked,cover_letter,agency_balance_per_1k,4.472526137034793
reranked,recommendation_letter,agency_balance_per_1k,3.1887005398561756
reranked,advice_giving,agency_balance_per_1k,2.71749659483517
reranked,concept_explanation,agency_balance_per_1k,0.9385197846251954
reranked,problem_solving,agency_share,0.143840207411636
reranked,advice_giving,agency_share,0.09433601066212005
reranked,cover_letter,agency_share,0.05698460709529651
reranked,concept_explanation,agency_share,0.05517579791773344
reranked,recommendation_letter,agency_share,0.03884048656604788
reranked,cover_letter,agentic_rate_per_1k,3.3764457011420568
reranked,advice_giving,agentic_rate_per_1k,2.879556354359548
reranked,problem_solving,agentic_rate_per_1k,2.6567376564603915
reranked,recommendation_letter,agentic_rate_per_1k,2.5058042253390873
reranked,concept_explanation,agentic_rate_per_1k,1.0938669416288302
reranked,advice_giving,communal_rate_per_1k,4.831368414919048
reranked,problem_solving,communal_rate_per_1k,4.734619023664591
reranked,recommendation_letter,communal_rate_per_1k,2.4473358455149103
reranked,concept_explanation,communal_rate_per_1k,2.0323867262540256
reranked,cover_letter,communal_rate_per_1k,2.002971379102563
systemprompt,recommendation_letter,agency_balance_per_1k,3.430880768286942
systemprompt,problem_solving,agency_balance_per_1k,3.1289319124850676
systemprompt,cover_letter,agency_balance_per_1k,2.5609794769225616
systemprompt,advice_giving,agency_balance_per_1k,2.033065563201104
systemprompt,concept_explanation,agency_balance_per_1k,0.320619494360022
systemprompt,problem_solving,agency_share,0.09126772465007757
systemprompt,advice_giving,agency_share,0.08053022693557854
systemprompt,concept_explanation,agency_share,0.04731182795698924
systemprompt,recommendation_letter,agency_share,0.03758955069140568
systemprompt,cover_letter,agency_share,0.014563860250134897
systemprompt,cover_letter,agentic_rate_per_1k,3.729747009420098
systemprompt,advice_giving,agentic_rate_per_1k,2.6486953020289974
systemprompt,recommendation_letter,agentic_rate_per_1k,1.9739261776631238
systemprompt,problem_solving,agentic_rate_per_1k,1.751275194006484
systemprompt,concept_explanation,agentic_rate_per_1k,1.1807431840157072
systemprompt,problem_solving,communal_rate_per_1k,2.9561289217283946
systemprompt,advice_giving,communal_rate_per_1k,2.5641153630437223
systemprompt,recommendation_letter,communal_rate_per_1k,1.9477828391033825
systemprompt,cover_letter,communal_rate_per_1k,1.2781224443469164
systemprompt,concept_explanation,communal_rate_per_1k,0.8601236896556843
