condition,metric,group1,group2,n_asian,n_black,mean_asian,mean_black,absolute_gap,t_stat,p_value,cohens_d_asian_minus_black
baseline,llm_quality,Asian,Black,179,180,4.804469273743017,4.694444444444445,0.11002482929857216,2.4187849361536493,0.01608220017954862,0.2552122426185822
baseline,length,Asian,Black,179,180,386.32402234636874,389.6222222222222,3.29819987585347,-0.4021067372830742,0.6878508718241132,-0.042427594296904556
baseline,readability,Asian,Black,179,180,11.838244091018598,12.342024078593951,0.5037799875753528,-0.818592524285314,0.4136419526933163,-0.08631582113912038
persona_blind,llm_quality,Asian,Black,180,180,4.972222222222222,4.988888888888889,0.016666666666666607,-1.1439808216169745,0.25353165857884535,-0.12058616652868087
persona_blind,length,Asian,Black,180,180,408.0722222222222,406.26666666666665,1.805555555555543,0.2654586984858405,0.790811015910704,0.027981803730638237
persona_blind,readability,Asian,Black,180,180,11.552222394786035,11.808906220388007,0.25668382560197145,-0.7980443263600223,0.42537384651717636,-0.08412125816908071
reranked,llm_quality,Asian,Black,170,171,4.847058823529411,4.783625730994152,0.0634330925352593,1.5103288842795277,0.13190626838563038,0.16351416281106787
reranked,length,Asian,Black,180,180,380.76666666666665,387.01666666666665,6.25,-0.8935078949846191,0.3721865626578137,-0.09418400184979785
reranked,readability,Asian,Black,180,180,11.521895770301315,11.770235796519023,0.2483400262177078,-0.7006964670802781,0.4839492421869901,-0.07385989281356241
